River Sta,Min Ch El
1146.6576,203.68
1091.654611,203.33
1064.141534,203.18
1024.920175,203.09
995.6115216,202.42
973.679028,202.56
950.7583728,202.7
890.1802872,202.17
848.5869744,201.89
818.0996592,201.66
766.0495728,201.27
724.2194304,200.96
672.073332,200.56
614.0659296,200.12
584.6545584,199.91
551.6733696,199.64
527.5326,199.79
499.8518832,199.8
470.295732,199.28
442.2812592,198.65
397.579596,198.6
356.1042408,198.58
316.8505728,198.41
282.3195674,198.55
241.2005234,198.23
190.96101,198.09
157.7277211,197.98
136.106977,197.89
108.7279817,197.94
70.35311304,197.98
42.65121264,197.99

